	shannon
10317.000003652	3.34903214772
10317.000014221	4.39201010512
10317.000002296	3.50557140714
10317.000005574	3.23460403646
10317.000013038	5.56854021775
10317.000022042	5.08305241257
10317.000010246	3.63127415668
10317.000007635	4.52318973418
10317.000023486	1.92888944886
10317.000001513	3.77229525679
10317.000033717	3.74765517469
10317.000036970	4.02302264721
10317.000022998	3.80867988883
10317.000027204	5.13910060943
10317.000028909	3.7272950528
10317.000023798	4.98419544097
10317.000029314	3.67237908832
10317.000020400	4.42678038239
10317.000027926	3.29452286461
10317.000006009	0.887994976862
10317.000023385	4.75552585151
10317.000004056	3.23156881985
10317.000013425	5.61814162022
10317.000028135	4.85187514541
10317.000009725	5.34377411801
10317.000014318	5.71231936495
10317.000007833	3.84196155788
10317.000006633	5.83453139934
10317.000022480	5.1311782211
10317.000023044	5.2616226107
10317.000011240	5.26298318148
10317.000036849	5.00737214824
10317.000009201	4.17287321977
10317.000037976	3.89484669208
10317.000017166	5.16028765441
10317.000029630	4.81430190866
10317.000005753	4.4797236395
10317.000037557	4.85245581256
10317.000015139	3.49176742551
10317.000014006	5.13292803048
10317.000038165	4.47236998475
10317.000003475	5.46305622697
10317.000001734	3.90099537195
10317.000004953	3.90355949311
10317.000017278	5.62272383845
10317.000016347	5.74324767068
10317.000022265	4.33268016186
10317.000020539	4.99117972343
10317.000036075	5.29446844195
10317.000023878	5.62889522282
10317.000015524	4.41080000997
10317.000022947	4.7193209917
10317.000003593	4.43922231372
10317.000002157	4.12913674128
10317.000041069	3.92008495276
10317.000010187	3.18096350397
10317.000022383	4.05124820801
10317.000026501	5.18856161102
10317.000011962	2.38247778542
10317.000020627	6.28001120606
10317.000010299	4.84657486369
10317.BLANK.9.E.r9	2.5795348147
10317.000017080	5.5007294548
10317.000023230	5.29529089681
10317.000007083	5.67204274118
10317.000009075	5.21761451622
10317.000027257	6.23243460564
10317.000004672a	0.898172234583
10317.000014497	0.0614199551757
10317.000030624	5.04710504701
10317.000002420	2.67067040655
10317.000028665	0.121468516231
10317.000001961	2.74645744977
10317.000001540	5.01072202335
10317.000007666	5.71815455665
10317.000002801	5.92526694553
10317.000022011	5.26453252961
10317.000020350	4.39457860886
10317.000012154	4.37600145055
10317.000028080	4.30591334633
10317.000026076	4.25763683011
10317.000014789	1.63625650515
10317.000003601	3.19708788516
10317.000038311	5.20179025951
10317.000028166	5.70272003382
10317.000008976	2.4609512786
10317.000010937	4.70098963215
10317.000026190	5.03333455539
10317.000035361	5.00114106907
10317.000001243	6.38580731153
10317.000033047	5.93861842758
10317.000009193	3.81938868191
10317.000014571	5.64287266527
10317.000023912	3.500579645
10317.000001887	4.1957876751
10317.000029347	4.31105533784
10317.000028278	3.55869752027
10317.000005224	3.5615940921
10317.000028783	3.78086838252
10317.000016314	5.24276957057
10317.000013888	3.27698240849
10317.000038136	5.43483736495
10317.000003426	3.46563889732
10317.000014055	4.22547993958
10317.000001182	5.37645265439
10317.000041739	2.86995160275
10317.000037925	4.98570375703
10317.000023017	0.940942407725
10317.000020792	4.98505490886
10317.000002607	3.79927057004
10317.000038228	3.4104679316
10317.000022535	2.30659937098
10317.000015392	5.22705803269
10317.000017636	2.40697210234
10317.000016709	5.62711687694
10317.000008195	3.42943902098
10317.000040105	5.35405146387
10317.000009551	5.22525868952
10317.000030300	6.31129564007
10317.000015577	5.55650805259
10317.000022914	2.38717814431
10317.000027773	5.34484775241
10317.000020091	5.93579231617
10317.000004222	3.00180231105
10317.000007775	5.76273529763
10317.000010306	4.14752760706
10317.000013178	2.92054251399
10317.000008983	5.2280192666
10317.000032857	4.3008774338
10317.000028193	6.15091353967
10317.000006975	4.40429532646
10317.000031516	4.39357287442
10317.000035394	3.53492674686
10317.000023323	5.30570918686
10317.000009166	5.26036757089
10317.000028849	3.52574480446
10317.000015140	6.07826877545
10317.000014584	2.73708127055
10317.000002533	2.5543506528
10317.000013266	6.02619776217
10317.000007076	3.53716921931
10317.000001350	3.72788074599
10317.000013944	4.6749593923
10317.000016723	4.92611900415
10317.000009080	2.52333954979
10317.000027759	2.99844000831
10317.000023801	1.69081386438
10317.000014199	5.44198313162
10317.000020540	5.75867793203
10317.000004208	4.39923727872
10317.000028690	1.99141368866
10317.000021184	5.5115657816
10317.000007693	1.48351036372
