#SampleID	origexp	bloomlevel
10317.000012318	ag-6-2016.clean.min100.withtax.biom	197.0
10317.000014290	ag-6-2016.clean.min100.withtax.biom	2300.0
10317.000015623	ag-6-2016.clean.min100.withtax.biom	1411.0
10317.000030000	ag-6-2016.clean.min100.withtax.biom	2736.0
10317.000013526	ag-6-2016.clean.min100.withtax.biom	16.0
10317.000033084	ag-6-2016.clean.min100.withtax.biom	16.0
10317.000013733	ag-6-2016.clean.min100.withtax.biom	23.0
10317.000033692	ag-6-2016.clean.min100.withtax.biom	4782.0
10317.000016727	ag-6-2016.clean.min100.withtax.biom	51.0
10317.000003161	ag-6-2016.clean.min100.withtax.biom	549.0
10317.000022430	ag-6-2016.clean.min100.withtax.biom	7378.0
10317.000029356	ag-6-2016.clean.min100.withtax.biom	249.0
10317.000018338	ag-6-2016.clean.min100.withtax.biom	6332.0
10317.000026184	ag-6-2016.clean.min100.withtax.biom	88.0
10317.000027869	ag-6-2016.clean.min100.withtax.biom	2527.0
10317.000011369	ag-6-2016.clean.min100.withtax.biom	4347.0
10317.000022048	ag-6-2016.clean.min100.withtax.biom	2933.0
10317.000034181	ag-6-2016.clean.min100.withtax.biom	4279.0
10317.000005805	ag-6-2016.clean.min100.withtax.biom	6215.0
10317.000007176	ag-6-2016.clean.min100.withtax.biom	23.0
10317.000013419	ag-6-2016.clean.min100.withtax.biom	4.0
10317.000014182	ag-6-2016.clean.min100.withtax.biom	4112.0
10317.000002597	ag-6-2016.clean.min100.withtax.biom	7467.0
10317.000016263	ag-6-2016.clean.min100.withtax.biom	92.0
10317.000027295	ag-6-2016.clean.min100.withtax.biom	607.0
10317.000001328	ag-6-2016.clean.min100.withtax.biom	5977.0
10317.000013937	ag-6-2016.clean.min100.withtax.biom	28.0
10317.000039938	ag-6-2016.clean.min100.withtax.biom	1087.0
10317.000030221	ag-6-2016.clean.min100.withtax.biom	5386.0
10317.000030041	ag-6-2016.clean.min100.withtax.biom	874.0
10317.000022516	ag-6-2016.clean.min100.withtax.biom	4607.0
10317.000016237	ag-6-2016.clean.min100.withtax.biom	17.0
10317.000012116	ag-6-2016.clean.min100.withtax.biom	6.0
10317.000014188	ag-6-2016.clean.min100.withtax.biom	42.0
10317.000013425	ag-6-2016.clean.min100.withtax.biom	67.0
